CustomerID,Age,Gender,AnnualIncome,SpendingScore,MembershipTenure,PurchaseFrequency,PreferredCategory,Region
C001,25,Male,42000,78,6,12,Electronics,North
C002,32,Female,78000,65,14,18,Apparel,South
C003,40,Male,95000,45,24,10,HomeDecor,East
C004,29,Female,51000,82,8,15,Beauty,West
C005,35,Male,72000,70,16,19,Electronics,North
C006,28,Female,47000,85,7,14,Beauty,South
C007,44,Male,101000,38,26,9,HomeDecor,East
C008,31,Female,61000,76,10,16,Apparel,West
C009,37,Male,88000,52,20,11,Electronics,North
C010,27,Female,49000,81,9,13,Beauty,South
C011,46,Male,112000,34,28,8,HomeDecor,East
C012,34,Female,69000,73,15,17,Apparel,West
C013,24,Male,39000,79,5,12,Electronics,North
C014,41,Female,91000,48,22,10,Beauty,South
C015,33,Male,76000,67,17,18,HomeDecor,East
C016,30,Female,56000,80,11,15,Apparel,West
C017,38,Male,84000,57,18,12,Electronics,North
C018,26,Female,45000,84,6,14,Beauty,South
C019,43,Male,104000,41,25,9,HomeDecor,East
C020,36,Female,71000,69,13,16,Apparel,West
C021,23,Male,36000,80,4,11,Electronics,North
C022,39,Female,86000,53,21,10,Beauty,South
C023,45,Male,108000,37,27,8,HomeDecor,East
C024,32,Female,65000,74,12,17,Apparel,West
C025,28,Male,48000,83,8,13,Electronics,North
C026,42,Female,98000,46,23,10,Beauty,South
C027,35,Male,78000,64,16,18,HomeDecor,East
C028,31,Female,59000,77,10,15,Apparel,West
C029,26,Male,43000,79,6,12,Electronics,North
C030,40,Female,90000,50,24,10,Beauty,South
